Peak Numbers based on the given limits	2604
Time_Botoom	Bottom	Time_Peak	Peak	Time_HLLS	HLLS	L_s	Time_HLTB	HLTB	L_f
121.178	1.56473	121.738	2.09863	121.438	1.84985	2.6376	120.878	1.65271	2.6376
122.138	1.51706	122.658	2.01193	122.378	1.75506	2.4492	121.918	1.60061	1.884
122.858	1.55869	123.378	1.97287	123.098	1.83429	2.4492	122.738	1.7595	0.942
123.538	1.52103	123.858	1.86054	123.678	1.71337	1.5072	123.438	1.90122	0.7536
123.978	1.53192	124.338	1.96417	124.138	1.74102	1.6956	123.898	1.76391	0.5652
124.738	1.35296	126.418	1.82044	125.558	1.91271	7.9128	124.518	1.63702	1.884
126.818	1.68921	127.418	2.21399	127.098	1.88234	2.826	126.598	1.61645	1.884
127.778	1.69348	128.138	2.04736	127.938	1.83556	1.6956	127.578	1.70962	1.6956
128.298	1.38205	128.898	1.88471	128.578	1.68621	2.826	128.198	1.85069	0.7536
129.458	1.59955	130.338	2.29736	129.878	1.89552	4.1448	129.158	1.58418	2.6376
131.018	1.39401	131.658	2.00549	131.318	1.66773	3.0144	130.658	1.74999	3.2028
132.138	1.67349	132.258	2.16199	132.178	1.76711	0.5652	131.878	1.87387	2.2608
133.178	1.44028	133.578	1.8385	133.358	1.66518	1.884	132.698	1.6008	4.3332
133.698	1.36465	134.058	1.83902	133.858	1.62625	1.6956	133.618	1.68122	0.5652
134.218	1.3949	134.818	2.00421	134.498	1.67681	2.826	134.118	1.71938	0.7536
135.098	1.47308	135.458	1.82724	135.258	1.70482	1.6956	134.938	1.79926	1.3188
135.698	1.46063	136.298	1.91064	135.978	1.76072	2.826	135.558	1.64982	1.1304
136.618	1.58231	137.018	2.05563	136.798	1.7929	1.884	136.438	1.70559	1.5072
137.258	1.27741	138.098	1.92636	137.658	1.75337	3.9564	137.118	1.69794	1.1304
138.258	1.46079	138.738	1.93015	138.478	1.72614	2.2608	138.158	1.68563	0.7536
139.018	1.32785	139.818	1.98807	139.398	1.72322	3.768	138.858	1.71977	1.3188
139.978	1.47989	140.458	1.9075	140.198	1.68558	2.2608	139.878	1.73477	0.7536
140.658	1.29181	141.418	1.9368	141.018	1.70866	3.5796	140.538	1.72103	0.942
141.738	1.69803	142.258	1.90869	141.978	1.8109	2.4492	141.558	1.64408	1.5072
142.778	1.48669	143.138	1.89163	142.938	1.63834	1.6956	142.498	1.65823	2.4492
143.298	1.51233	144.498	2.31381	143.878	2.06586	5.652	143.198	1.70495	0.7536
144.738	1.33777	145.178	1.8013	144.938	1.65382	2.0724	144.598	1.79326	1.1304
145.258	1.55875	146.778	2.20572	145.998	1.90013	7.1592	145.198	1.70466	0.3768
147.338	1.68295	147.658	2.03967	147.478	1.7997	1.5072	147.038	1.75237	2.6376
147.778	1.63742	148.218	2.01807	147.978	1.88114	2.0724	147.698	1.95532	0.5652
148.378	1.55713	148.458	1.83557	148.398	1.61294	0.3768	148.278	1.77043	0.7536
149.018	1.68314	149.258	1.96808	149.118	1.77366	1.1304	148.718	1.59426	2.6376
149.938	1.50629	150.378	1.86591	150.138	1.71891	2.0724	149.578	1.7281	3.2028
150.538	1.28918	151.018	1.81082	150.758	1.58731	2.2608	150.438	1.64794	0.7536
151.178	1.64493	151.738	2.05435	151.438	1.79259	2.6376	151.078	1.7433	0.7536
152.338	1.48337	152.698	1.85886	152.498	1.71919	1.6956	152.018	1.64738	2.826
152.978	1.49646	153.458	1.80753	153.198	1.73912	2.2608	152.818	1.73179	1.3188
154.058	1.37588	154.938	2.13831	154.478	1.75229	4.1448	153.738	1.70193	2.826
155.058	1.57251	155.338	1.90417	155.178	1.76876	1.3188	154.978	1.83294	0.5652
155.738	1.65295	156.218	2.15378	155.958	1.8763	2.2608	155.518	1.56168	1.884
156.338	1.65439	156.698	1.90018	156.498	1.80139	1.6956	156.258	1.99259	0.5652
156.818	1.39398	157.298	1.91916	157.038	1.68191	2.2608	156.738	1.74374	0.5652
